book_id,title,author,genre,target_grade_min,target_grade_max,reading_level,pages,description,isbn,publication_year,copies_available,series_name,series_position
book_0044,Bridge to Terabithia 1,Jeff Kinney,Science Fiction,6,8,809,220,Set in a futuristic world where technology and humanity collide in unexpected ways.,978-1-953016-35-5,2021,3,,
book_0045,Esperanza Rising 5,Carla Porter,Science Fiction,6,7,623,333,Set in a futuristic world where technology and humanity collide in unexpected ways.,978-0-640-88975-3,2013,5,The Hunger Games,3.0
book_0046,The Lightning Thief 1,Lisa Lewis,Adventure,6,8,904,190,"An action-packed journey filled with danger, excitement, and unexpected discoveries.",978-1-149-72642-6,2022,5,Magic Tree House,7.0
book_0047,Intuitive value-added Internet solution,Gary Paulsen,Poetry,7,8,927,337,An engaging story for middle grade readers.,978-0-447-75139-0,2021,5,,
book_0048,Horizontal 6thgeneration capability,Michelle Beasley,Horror,7,8,962,358,An engaging story for middle grade readers.,978-1-01-885341-3,2013,5,,
book_0049,Freak the Mighty 3,Zachary Brown,Humor,6,7,843,348,A laugh-out-loud funny story that will keep readers entertained from start to finish.,978-1-132-88445-4,2020,2,,
book_0050,Percy Jackson 5,Gary Paulsen,Adventure,6,8,820,296,"An action-packed journey filled with danger, excitement, and unexpected discoveries.",978-1-957258-26-3,2022,2,Harry Potter,12.0
book_0051,Number the Stars 4,S.E. Hinton,Graphic Novel,6,7,812,315,An engaging story for middle grade readers.,978-1-64284-253-1,2012,5,,
book_0052,The Lightning Thief 3,Veronica Roth,Graphic Novel,6,7,894,314,An engaging story for middle grade readers.,978-1-962055-07-9,2017,5,,
book_0053,Divergent 4,Jeff Kinney,Biography,6,7,849,307,The inspiring true story of someone who made a difference in the world.,978-0-257-26176-8,2023,2,,
book_0054,The Maze Runner 5,Brandon Solomon,Fantasy,6,7,873,142,A magical adventure where young heroes discover hidden powers and face ancient evils.,978-1-72755-739-8,2020,4,,
book_0055,The Outsiders 4,Veronica Roth,Realistic Fiction,6,7,733,315,A relatable story about growing up and facing real-world challenges.,978-1-03-233280-2,2008,1,Dog Man,3.0
book_0056,Diary of a Wimpy Kid 2,Nathan Smith,Poetry,7,8,1076,120,An engaging story for middle grade readers.,978-1-179-14705-5,2000,2,,
book_0057,The Giver 5,Timothy Marsh,Romance,6,7,722,231,A heartwarming story about first love and the complexities of relationships.,978-1-57175-630-5,2011,2,Percy Jackson,10.0
book_0058,Cloned high-level database,J.K. Rowling,Science Fiction,7,8,858,396,Set in a futuristic world where technology and humanity collide in unexpected ways.,978-1-944805-62-3,2000,3,,
book_0059,Triple-buffered 6thgeneration utilization,Wilson Rawls,Non-fiction,6,8,903,224,An engaging story for middle grade readers.,978-0-12-470960-7,2003,3,,
book_0060,Total human-resource core,Gregory Jensen,Fantasy,7,8,861,277,A magical adventure where young heroes discover hidden powers and face ancient evils.,978-0-935543-27-8,2017,4,,
book_0061,The Lightning Thief 4,Jacob Smith,Science Fiction,6,7,859,321,Set in a futuristic world where technology and humanity collide in unexpected ways.,978-1-72167-362-9,2011,4,,
book_0062,Universal reciprocal moderator,Heather Jennings,Realistic Fiction,6,8,790,375,A relatable story about growing up and facing real-world challenges.,978-1-79101-834-4,2015,4,,
book_0063,Freak the Mighty 1,Pam Muñoz Ryan,Adventure,7,8,937,337,"An action-packed journey filled with danger, excitement, and unexpected discoveries.",978-1-86226-993-4,2018,5,,
book_0064,Percy Jackson 2,James Dashner,Poetry,6,8,714,232,An engaging story for middle grade readers.,978-1-71680-294-2,2010,3,,
book_0065,Walk Two Moons 2,John Green,Romance,7,8,941,384,A heartwarming story about first love and the complexities of relationships.,978-1-290-36632-8,2007,4,,
book_0066,Optional analyzing protocol,Rodman Philbrick,Dystopian,6,8,929,224,A thought-provoking story about survival in a society where freedom is under threat.,978-0-6484020-9-1,2009,5,,
book_0067,Number the Stars 3,Pam Muñoz Ryan,Realistic Fiction,7,8,1071,256,A relatable story about growing up and facing real-world challenges.,978-1-147-21699-8,2008,2,,
book_0068,Visionary high-level time-frame,Robert Randolph,Adventure,6,7,874,210,"An action-packed journey filled with danger, excitement, and unexpected discoveries.",978-1-64647-663-3,2023,4,The Hunger Games,6.0
book_0069,Fully-configurable encompassing conglomeration,Denise Woods,Realistic Fiction,7,8,944,216,A relatable story about growing up and facing real-world challenges.,978-0-05-836032-5,2011,2,The Baby-Sitters Club,9.0
book_0070,Wonder 1,Jeffrey Gonzalez,Non-fiction,7,8,1073,164,An engaging story for middle grade readers.,978-0-338-41576-9,2020,4,,
book_0071,Percy Jackson 2,Richard Logan,Realistic Fiction,6,8,940,344,A relatable story about growing up and facing real-world challenges.,978-0-03-101144-2,2003,1,Percy Jackson,10.0
book_0072,Wonder 2,Wilson Rawls,Realistic Fiction,6,7,895,143,A relatable story about growing up and facing real-world challenges.,978-1-9784-1613-0,2007,1,,
book_0073,Persevering human-resource monitoring,Pam Muñoz Ryan,Realistic Fiction,6,8,815,319,A relatable story about growing up and facing real-world challenges.,978-0-268-66704-7,2009,5,,
book_0074,Expanded impactful encoding,S.E. Hinton,Realistic Fiction,7,8,850,141,A relatable story about growing up and facing real-world challenges.,978-1-81106-684-3,2005,2,,
book_0075,Where the Red Fern Grows 4,Rodman Philbrick,Realistic Fiction,6,7,809,244,A relatable story about growing up and facing real-world challenges.,978-0-271-64348-9,2022,4,Harry Potter,3.0
book_0076,Number the Stars 2,Joel Wilkinson,Memoir,7,8,901,236,An engaging story for middle grade readers.,978-0-542-88659-1,2004,1,The Hunger Games,5.0
book_0077,Re-engineered cohesive system engine,Pam Muñoz Ryan,Non-fiction,7,8,1091,255,An engaging story for middle grade readers.,978-0-920656-33-4,2022,4,Hilo,5.0
book_0078,Holes 5,John Green,Non-fiction,7,8,1076,265,An engaging story for middle grade readers.,978-1-303-44350-3,2019,3,,
book_0079,Open-source stable pricing structure,John Savage,Biography,7,8,1100,237,The inspiring true story of someone who made a difference in the world.,978-1-5046-4597-3,2018,1,The Hunger Games,11.0
book_0080,The Fault in Our Stars 3,Wilson Rawls,Dystopian,6,7,840,351,A thought-provoking story about survival in a society where freedom is under threat.,978-1-954565-22-7,2002,4,,
book_0081,Bridge to Terabithia 3,Sharon Creech,Realistic Fiction,6,8,864,305,A relatable story about growing up and facing real-world challenges.,978-1-126-29556-3,2017,1,,
book_0082,The Maze Runner 5,Ruben Leblanc,Fantasy,6,8,829,377,A magical adventure where young heroes discover hidden powers and face ancient evils.,978-0-02-722373-6,2014,4,,
book_0083,Wonder 2,Gary Paulsen,Memoir,7,8,1055,247,An engaging story for middle grade readers.,978-0-14-981747-9,2014,4,Captain Underpants,6.0
book_0084,The Lightning Thief 5,Rodman Philbrick,Graphic Novel,6,7,681,158,An engaging story for middle grade readers.,978-0-296-64543-7,2014,1,Goosebumps,10.0
book_0085,User-centric bi-directional challenge,Suzanne Collins,Dystopian,6,7,855,347,A thought-provoking story about survival in a society where freedom is under threat.,978-1-04-580102-9,2015,2,,
book_0086,Where the Red Fern Grows 5,David Hill,Mystery,6,7,796,135,A thrilling puzzle that challenges readers to solve the case alongside the protagonist.,978-0-06-728685-2,2008,4,,
book_0087,Organic systematic projection,J.K. Rowling,Graphic Novel,7,8,936,400,An engaging story for middle grade readers.,978-1-77197-429-5,2018,4,,
book_0088,Percy Jackson 5,John Mitchell,Dystopian,6,8,975,333,A thought-provoking story about survival in a society where freedom is under threat.,978-0-624-04972-2,2010,2,,
book_0089,Divergent 1,Sharon Creech,Non-fiction,6,7,892,295,An engaging story for middle grade readers.,978-0-495-32178-1,2012,2,,
book_0090,Island of the Blue Dolphins 3,Daniel Turner,Graphic Novel,6,7,664,325,An engaging story for middle grade readers.,978-0-13-366834-6,2003,5,,
book_0091,Hatchet 1,Suzanne Collins,Historical Fiction,6,7,673,303,A compelling tale set against the backdrop of important historical events.,978-0-8137-9554-6,2020,1,,
book_0092,Percy Jackson 4,Melissa Campbell,Fantasy,7,8,1073,135,A magical adventure where young heroes discover hidden powers and face ancient evils.,978-1-02-722156-2,2007,3,,
book_0093,The Giver 1,J.K. Rowling,Memoir,7,8,846,114,An engaging story for middle grade readers.,978-1-293-46082-5,2001,3,,
book_0094,Hatchet 2,Meredith Schultz,Horror,6,8,883,192,An engaging story for middle grade readers.,978-1-5470-4912-7,2005,2,,
book_0095,Island of the Blue Dolphins 2,Suzanne Collins,Romance,7,8,923,230,A heartwarming story about first love and the complexities of relationships.,978-1-100-79113-5,2021,1,Wings of Fire,10.0
book_0096,Bridge to Terabithia 1,James Dashner,Horror,6,8,847,253,An engaging story for middle grade readers.,978-0-301-49072-4,2020,4,,
book_0097,The Maze Runner 4,Veronica Roth,Horror,6,8,854,283,An engaging story for middle grade readers.,978-0-07-996676-6,2018,3,,
book_0098,Programmable dedicated knowledge user,Victoria Ellis,Realistic Fiction,6,8,711,104,A relatable story about growing up and facing real-world challenges.,978-1-339-67880-1,2018,1,,
book_0099,Mandatory zero administration budgetary management,John Melton,Poetry,7,8,1054,217,An engaging story for middle grade readers.,978-0-88179-034-4,2019,3,,
book_0100,Wonder 3,Jennifer Hernandez,Fantasy,6,8,770,396,A magical adventure where young heroes discover hidden powers and face ancient evils.,978-1-300-80499-4,2011,2,The Hunger Games,10.0
book_0101,Hatchet 5,Michelle Hunt,Historical Fiction,7,8,1012,371,A compelling tale set against the backdrop of important historical events.,978-0-521-71732-8,2016,3,Divergent,6.0
book_0102,Versatile user-facing contingency,Jeff Kinney,Poetry,6,8,946,158,An engaging story for middle grade readers.,978-0-406-65265-2,2014,1,,
book_0103,Enhanced responsive emulation,Jacob Watkins,Historical Fiction,7,8,1003,146,A compelling tale set against the backdrop of important historical events.,978-0-537-71053-5,2012,1,The Hunger Games,11.0
book_0104,Diary of a Wimpy Kid 1,Matthew Jones,Romance,6,8,834,112,A heartwarming story about first love and the complexities of relationships.,978-1-56755-547-9,2019,5,Harry Potter,8.0
book_0105,The Fault in Our Stars 3,Christopher Ortiz,Science Fiction,7,8,913,171,Set in a futuristic world where technology and humanity collide in unexpected ways.,978-0-564-21864-6,2001,1,,
book_0106,Number the Stars 2,James Dashner,Biography,6,8,759,376,The inspiring true story of someone who made a difference in the world.,978-0-85753-322-7,2013,5,,
book_0107,Esperanza Rising 5,Suzanne Collins,Fantasy,6,7,812,289,A magical adventure where young heroes discover hidden powers and face ancient evils.,978-0-547-87552-1,2006,4,,
book_0108,Diary of a Wimpy Kid 5,Alejandro Stokes,Biography,6,7,785,283,The inspiring true story of someone who made a difference in the world.,978-1-119-98489-4,2001,4,,
book_0109,Where the Red Fern Grows 1,Jeff Kinney,Adventure,6,7,708,164,"An action-packed journey filled with danger, excitement, and unexpected discoveries.",978-1-59434-251-6,2018,2,Harry Potter,8.0
book_0110,Freak the Mighty 3,Carlos Henderson,Poetry,6,7,900,101,An engaging story for middle grade readers.,978-1-151-38879-7,2008,2,Hilo,9.0
book_0111,Stand-alone systematic product,Rick Riordan,Mystery,7,8,928,107,A thrilling puzzle that challenges readers to solve the case alongside the protagonist.,978-0-371-74079-8,2011,2,,
book_0112,Hatchet 4,Daniel Mcdaniel,Non-fiction,6,7,689,132,An engaging story for middle grade readers.,978-1-68148-841-7,2015,4,,
book_0113,Freak the Mighty 5,Lois Lowry,Realistic Fiction,7,8,855,334,A relatable story about growing up and facing real-world challenges.,978-1-304-17133-7,2020,1,,
book_0114,The Fault in Our Stars 1,Shannon Mcneil,Historical Fiction,6,8,755,175,A compelling tale set against the backdrop of important historical events.,978-1-07-988565-1,2002,2,Dog Man,7.0
book_0115,Where the Red Fern Grows 5,Lois Lowry,Horror,7,8,966,320,An engaging story for middle grade readers.,978-1-140-17382-3,2003,1,Goosebumps,10.0
book_0116,Reduced regional core,Pam Muñoz Ryan,Memoir,7,8,1082,216,An engaging story for middle grade readers.,978-0-514-83760-6,2013,3,,
book_0117,Sharable logistical approach,Jeff Kinney,Biography,6,8,912,230,The inspiring true story of someone who made a difference in the world.,978-1-193-27442-3,2011,2,,
book_0118,Holes 1,James Dashner,Poetry,6,8,734,166,An engaging story for middle grade readers.,978-0-632-36860-0,2017,1,,
book_0119,The Giver 4,John Green,Graphic Novel,7,8,1087,126,An engaging story for middle grade readers.,978-1-348-89802-3,2009,5,,
book_0120,Hatchet 4,Lois Lowry,Historical Fiction,6,7,895,384,A compelling tale set against the backdrop of important historical events.,978-1-5249-8216-4,2011,1,,
book_0121,Exclusive fresh-thinking success,Michael Herrera,Poetry,7,8,915,385,An engaging story for middle grade readers.,978-1-151-79801-5,2000,5,,
book_0122,The Hunger Games 3,Chelsea Arias,Historical Fiction,7,8,936,103,A compelling tale set against the backdrop of important historical events.,978-1-58400-366-3,2005,2,,
book_0123,The Lightning Thief 1,Hayley Fisher,Adventure,6,8,735,292,"An action-packed journey filled with danger, excitement, and unexpected discoveries.",978-1-4485-0152-6,2013,4,,
book_0124,Upgradable foreground synergy,Leroy Flores,Horror,6,8,859,143,An engaging story for middle grade readers.,978-0-940600-77-5,2001,2,,
book_0125,Divergent 4,Kenneth Summers,Dystopian,7,8,841,239,A thought-provoking story about survival in a society where freedom is under threat.,978-1-4028-2539-2,2006,5,The Baby-Sitters Club,1.0
book_0126,Harry Potter 1,R.J. Palacio,Fantasy,6,8,949,204,A magical adventure where young heroes discover hidden powers and face ancient evils.,978-1-193-72494-2,2009,2,Wings of Fire,2.0
book_0127,The Lightning Thief 4,Marissa Larsen,Mystery,6,8,848,166,A thrilling puzzle that challenges readers to solve the case alongside the protagonist.,978-0-11-958181-2,2012,5,,
book_0128,Profit-focused interactive Graphical User Interface,Terry Davenport,Science Fiction,7,8,1086,303,Set in a futuristic world where technology and humanity collide in unexpected ways.,978-1-08-846899-9,2023,1,,
book_0129,Monitored system-worthy database,Cheryl Erickson,Horror,6,8,739,307,An engaging story for middle grade readers.,978-0-551-29508-7,2022,4,,
book_0130,Optional homogeneous Local Area Network,Daniel Zimmerman,Graphic Novel,6,8,787,285,An engaging story for middle grade readers.,978-1-67721-485-3,2002,4,Wings of Fire,1.0
book_0131,Walk Two Moons 1,J.K. Rowling,Non-fiction,6,7,823,273,An engaging story for middle grade readers.,978-1-333-57290-7,2007,3,,
book_0132,Walk Two Moons 5,James Dashner,Historical Fiction,6,7,861,175,A compelling tale set against the backdrop of important historical events.,978-0-04-273811-6,2007,1,,
book_0133,Optimized human-resource product,Craig Coleman Jr.,Mystery,7,8,878,352,A thrilling puzzle that challenges readers to solve the case alongside the protagonist.,978-1-902870-99-1,2014,5,The Hunger Games,3.0
book_0134,Where the Red Fern Grows 3,Janet Wells,Biography,6,8,989,261,The inspiring true story of someone who made a difference in the world.,978-0-918063-45-8,2004,4,,
book_0135,Diary of a Wimpy Kid 5,Pam Muñoz Ryan,Romance,6,8,840,119,A heartwarming story about first love and the complexities of relationships.,978-0-605-13300-6,2001,3,Dog Man,11.0
book_0136,Walk Two Moons 4,Scott O'Dell,Poetry,6,7,646,121,An engaging story for middle grade readers.,978-0-637-42137-9,2014,5,,
book_0137,Wonder 4,Jeff Kinney,Non-fiction,6,8,943,143,An engaging story for middle grade readers.,978-1-05-673794-2,2016,2,,
book_0138,Bridge to Terabithia 3,J.K. Rowling,Dystopian,6,8,968,309,A thought-provoking story about survival in a society where freedom is under threat.,978-0-210-80194-9,2010,5,Magic Tree House,8.0
book_0139,Number the Stars 4,Gary Paulsen,Historical Fiction,6,8,733,141,A compelling tale set against the backdrop of important historical events.,978-0-638-47259-2,2018,2,Goosebumps,11.0
book_0140,Holes 3,Mitchell Greene,Biography,6,8,900,268,The inspiring true story of someone who made a difference in the world.,978-0-586-49822-4,2004,5,,
book_0141,Harry Potter 2,Barbara Rowland,Historical Fiction,7,8,985,348,A compelling tale set against the backdrop of important historical events.,978-1-103-19944-0,2006,2,Goosebumps,7.0
book_0142,The Giver 5,Elizabeth Nelson,Graphic Novel,6,7,639,369,An engaging story for middle grade readers.,978-1-9872-2188-6,2001,3,,
book_0143,Hatchet 2,Katherine Paterson,Non-fiction,7,8,867,324,An engaging story for middle grade readers.,978-1-367-36269-7,2001,4,,
book_0144,Up-sized scalable analyzer,James Vega,Poetry,7,8,921,329,An engaging story for middle grade readers.,978-1-76476-807-8,2007,5,,
book_0145,Island of the Blue Dolphins 4,J.K. Rowling,Poetry,6,7,788,295,An engaging story for middle grade readers.,978-0-688-73652-1,2016,5,Hilo,8.0
book_0146,Virtual high-level knowledgebase,Suzanne Collins,Fantasy,6,7,702,346,A magical adventure where young heroes discover hidden powers and face ancient evils.,978-1-04-437730-3,2011,5,,
book_0147,Versatile bi-directional protocol,Katherine Paterson,Realistic Fiction,7,8,1064,330,A relatable story about growing up and facing real-world challenges.,978-0-9960370-9-9,2016,2,,
book_0148,Organized tertiary intranet,Jared Mcdonald,Memoir,6,7,713,113,An engaging story for middle grade readers.,978-1-61977-534-3,2013,1,,
book_0149,Holes 3,Jeff Kinney,Memoir,6,8,820,150,An engaging story for middle grade readers.,978-0-202-17022-0,2022,3,,
book_0150,Esperanza Rising 2,Mathew Smith,Romance,6,7,619,329,A heartwarming story about first love and the complexities of relationships.,978-1-883017-65-1,2019,1,,
book_0151,Hatchet 5,Jason Henry,Horror,6,7,731,370,An engaging story for middle grade readers.,978-0-483-05240-6,2013,1,,
book_0152,Freak the Mighty 4,Shelby Lopez,Horror,6,7,754,334,An engaging story for middle grade readers.,978-0-587-16566-8,2002,1,,
book_0153,Walk Two Moons 5,Gary Paulsen,Realistic Fiction,6,8,974,319,A relatable story about growing up and facing real-world challenges.,978-0-405-74793-9,2000,5,,
book_0154,Holes 5,Alexandra Garcia,Science Fiction,7,8,1013,369,Set in a futuristic world where technology and humanity collide in unexpected ways.,978-0-665-87848-0,2017,5,,
book_0155,Esperanza Rising 1,Heidi Peters,Historical Fiction,7,8,1083,229,A compelling tale set against the backdrop of important historical events.,978-1-242-64522-8,2023,1,,
book_0156,The Giver 5,David Rogers,Historical Fiction,6,7,776,168,A compelling tale set against the backdrop of important historical events.,978-1-57469-092-7,2001,3,,
book_0157,Robust object-oriented algorithm,James Miller,Non-fiction,7,8,889,345,An engaging story for middle grade readers.,978-1-67241-299-5,2020,2,,
book_0158,The Outsiders 1,Michael Mendoza,Memoir,6,7,834,121,An engaging story for middle grade readers.,978-0-222-44331-1,2010,3,,
book_0159,The Outsiders 3,R.J. Palacio,Graphic Novel,7,8,1042,269,An engaging story for middle grade readers.,978-0-905863-83-2,2008,1,,
book_0160,Future-proofed bandwidth-monitored functionalities,Samuel Franklin,Dystopian,6,8,904,273,A thought-provoking story about survival in a society where freedom is under threat.,978-0-407-84909-9,2005,4,,
book_0161,Holes 4,Katherine Paterson,Humor,6,8,965,250,A laugh-out-loud funny story that will keep readers entertained from start to finish.,978-0-426-75013-0,2010,1,,
book_0162,Divergent 2,Karen Brown,Historical Fiction,6,8,928,328,A compelling tale set against the backdrop of important historical events.,978-1-177-36436-2,2001,3,Goosebumps,5.0
book_0163,Wonder 1,Taylor Lopez,Dystopian,6,8,840,286,A thought-provoking story about survival in a society where freedom is under threat.,978-1-70161-370-6,2016,2,,
book_0164,Holes 2,Andrew Long,Historical Fiction,6,7,824,285,A compelling tale set against the backdrop of important historical events.,978-0-949654-08-3,2012,5,,
book_0165,Holes 5,James Dashner,Dystopian,6,8,889,260,A thought-provoking story about survival in a society where freedom is under threat.,978-0-233-65683-0,2020,3,Diary of a Wimpy Kid,11.0
book_0166,The Maze Runner 5,Suzanne Collins,Non-fiction,7,8,895,328,An engaging story for middle grade readers.,978-0-210-61260-6,2006,5,Harry Potter,1.0
book_0167,Streamlined bandwidth-monitored help-desk,Pam Muñoz Ryan,Science Fiction,6,7,669,263,Set in a futuristic world where technology and humanity collide in unexpected ways.,978-0-423-49740-3,2021,3,Dog Man,4.0
book_0168,Harry Potter 2,Cassandra Schneider,Memoir,7,8,1077,189,An engaging story for middle grade readers.,978-0-946687-15-2,2011,5,,
book_0169,Number the Stars 5,Scott O'Dell,Mystery,6,7,852,144,A thrilling puzzle that challenges readers to solve the case alongside the protagonist.,978-0-388-18592-6,2002,3,The Hunger Games,3.0
book_0170,Divergent 5,Jeff Kinney,Biography,7,8,1045,137,The inspiring true story of someone who made a difference in the world.,978-0-13-744191-4,2014,4,,
book_0171,Fundamental grid-enabled support,Wendy Powell,Biography,6,8,765,400,The inspiring true story of someone who made a difference in the world.,978-0-934816-30-4,2005,2,,
book_0172,Harry Potter 2,Rodman Philbrick,Historical Fiction,6,7,663,365,A compelling tale set against the backdrop of important historical events.,978-1-195-11005-7,2009,1,,
book_0173,Where the Red Fern Grows 5,Katherine Paterson,Horror,6,8,764,397,An engaging story for middle grade readers.,978-1-9804-6455-6,2004,2,Goosebumps,9.0
book_0174,Future-proofed client-server capacity,Mr. Carlos Wilson,Graphic Novel,7,8,972,114,An engaging story for middle grade readers.,978-1-232-05648-5,2002,1,,
